,0,1,2,3,4,5,6,7,8,9,average
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20.000000000000007,20.000000000000007,15.000000000000007,21.000000000000007,18.000000000000007,17.0,23.000000000000004,23.000000000000004,8.000000000000014,23.000000000000004,18.800000000000004
2,28.0,23.000000000000004,15.000000000000014,26.000000000000004,21.000000000000007,25.0,23.900000000000002,23.000000000000004,23.000000000000004,23.000000000000004,23.090000000000003
3,29.0,24.0,18.000000000000007,26.000000000000004,22.0,25.0,23.900000000000006,23.000000000000004,23.000000000000004,26.000000000000004,23.990000000000002
4,29.0,26.000000000000004,23.000000000000004,26.6,23.000000000000004,26.000000000000004,24.799999999999997,27.000000000000004,26.000000000000004,26.000000000000004,25.740000000000002
5,29.0,26.000000000000004,26.000000000000004,27.000000000000004,24.000000000000007,26.000000000000004,25.700000000000003,28.000000000000004,26.000000000000004,26.000000000000004,26.370000000000005
6,29.0,27.0,26.000000000000004,28.0,26.000000000000004,26.000000000000004,25.700000000000003,29.0,26.000000000000004,26.000000000000004,26.870000000000005
7,29.0,27.0,27.000000000000004,28.0,27.0,26.000000000000004,25.700000000000003,29.0,27.400000000000002,26.000000000000004,27.21
8,30.0,27.0,29.0,29.0,27.000000000000004,26.000000000000004,25.700000000000003,29.0,27.6,26.000000000000004,27.630000000000003
9,30.0,27.000000000000004,29.0,29.0,27.000000000000004,26.000000000000004,25.700000000000003,29.0,29.0,27.0,27.870000000000005
10,32.0,28.0,29.0,29.0,27.000000000000004,26.000000000000004,26.6,29.0,29.0,29.0,28.46
11,32.0,29.0,29.0,29.0,27.000000000000004,26.000000000000004,26.6,29.0,29.0,29.0,28.560000000000002
12,32.0,29.0,29.0,29.0,28.999999999999996,28.0,27.5,29.0,29.0,29.0,29.05
13,32.0,29.0,29.0,29.0,29.0,28.999999999999996,28.400000000000002,29.0,30.0,29.0,29.339999999999996
