,0,1,2,3,4,5,6,7,8,9,average
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.000000000000004,21.200000000000006,19.1,25.05,20.300000000000004,23.0,26.000000000000004,20.000000000000007,12.0,26.000000000000004,21.565000000000005
2,26.000000000000004,23.000000000000004,21.650000000000002,27.0,23.000000000000004,26.000000000000004,26.000000000000004,24.000000000000007,26.000000000000004,26.000000000000004,24.865000000000002
3,26.000000000000004,25.700000000000003,25.05,27.6,24.8,26.000000000000004,29.0,24.000000000000007,27.000000000000004,27.000000000000004,26.215000000000003
4,26.000000000000004,26.599999999999998,25.05,27.6,25.700000000000003,26.000000000000004,29.0,25.0,29.0,27.000000000000004,26.695
5,28.000000000000004,26.6,27.6,27.6,25.700000000000003,26.000000000000004,29.0,26.000000000000004,29.0,27.000000000000004,27.25
6,28.000000000000004,28.400000000000002,27.6,29.299999999999997,26.6,26.000000000000004,30.0,26.000000000000004,29.0,27.000000000000004,27.790000000000003
7,28.000000000000004,28.400000000000002,27.6,30.15,26.6,28.0,31.0,27.000000000000004,31.0,27.000000000000004,28.475
8,29.0,28.400000000000002,27.6,30.15,28.4,29.0,32.0,28.999999999999996,32.0,29.0,29.455000000000002
9,29.0,28.400000000000002,29.299999999999997,30.15,28.400000000000002,29.0,32.0,29.0,32.0,29.0,29.625
10,29.0,29.299999999999997,29.299999999999997,30.15,28.400000000000002,29.0,32.0,29.0,32.0,29.0,29.714999999999996
11,29.0,29.3,29.299999999999997,30.15,28.400000000000002,29.0,32.0,29.0,32.0,29.0,29.714999999999996
12,30.0,29.3,30.15,30.15,28.400000000000002,29.0,32.0,29.0,32.0,29.0,29.9
13,32.0,31.099999999999998,30.15,30.15,29.3,29.0,32.0,30.0,32.0,30.0,30.57
14,32.0,31.099999999999998,30.15,30.15,29.3,29.0,32.0,30.0,32.0,30.0,30.57
15,32.0,31.099999999999998,30.15,30.15,29.3,29.0,32.0,30.0,33.0,30.0,30.669999999999998
16,32.0,31.099999999999998,30.15,30.15,30.2,29.0,32.0,30.0,34.0,30.0,30.860000000000003
17,32.0,31.099999999999998,30.15,31.0,31.099999999999998,29.0,32.0,30.0,34.0,32.0,31.235000000000003
18,32.0,31.099999999999998,30.15,31.0,31.099999999999998,32.0,32.0,30.0,35.0,32.0,31.635
19,32.0,31.099999999999998,30.15,31.0,31.099999999999998,32.0,32.0,30.0,35.0,32.0,31.635
20,32.0,31.099999999999998,30.15,31.0,31.099999999999998,32.0,32.0,30.0,35.0,33.0,31.735000000000003
21,32.0,31.099999999999998,31.849999999999998,31.849999999999998,31.099999999999998,32.0,32.0,30.0,35.0,33.0,31.99
22,32.0,31.099999999999998,31.849999999999998,32.7,31.099999999999998,32.0,32.0,30.0,35.0,33.0,32.075
23,32.0,31.099999999999998,32.7,32.7,31.099999999999998,32.0,32.0,30.0,35.0,33.0,32.160000000000004
24,32.0,31.099999999999998,32.7,32.7,31.099999999999998,32.0,33.0,32.0,35.0,33.0,32.46
25,33.0,31.099999999999998,32.7,32.7,31.099999999999998,32.0,33.0,32.0,35.0,33.0,32.56
26,35.0,32.0,32.7,32.7,31.099999999999998,32.0,33.0,32.0,35.0,33.0,32.85
27,35.0,32.0,32.7,32.7,32.9,32.0,33.0,32.0,35.0,33.0,33.03
28,35.0,32.0,32.7,32.7,33.8,32.0,33.0,33.0,35.0,33.0,33.220000000000006
29,35.0,32.0,32.7,32.7,33.8,32.0,34.0,33.0,35.0,34.0,33.42
30,35.0,32.9,32.7,32.7,33.8,32.0,35.0,33.0,35.0,34.0,33.61
31,35.0,32.9,32.7,32.7,33.8,32.0,35.0,33.0,35.0,34.0,33.61
32,35.0,33.8,32.7,32.7,33.8,32.0,35.0,33.0,35.0,35.0,33.8
33,35.0,33.8,32.7,32.7,33.8,32.0,35.0,33.0,35.0,35.0,33.8
34,35.0,33.8,32.7,32.7,33.8,33.0,35.0,33.0,35.0,35.0,33.9
35,35.0,33.8,32.7,32.7,33.8,33.0,35.0,33.0,35.0,35.0,33.9
36,35.0,33.8,32.7,32.7,33.8,33.0,35.0,33.0,35.0,35.0,33.9
37,35.0,33.8,32.7,32.7,33.8,33.0,35.0,33.0,35.0,35.0,33.9
38,35.0,33.8,32.7,32.7,33.8,34.0,35.0,33.0,35.0,35.0,34.0
39,35.0,33.8,32.7,32.7,33.8,34.0,35.0,33.0,35.0,35.0,34.0
40,35.0,33.8,32.7,32.7,33.8,34.0,35.0,33.0,35.0,35.0,34.0
41,35.0,33.8,32.7,32.7,33.8,35.0,35.0,33.0,35.0,35.0,34.1
42,35.0,33.8,32.7,32.7,33.8,35.0,35.0,33.0,35.0,35.0,34.1
43,36.0,33.8,32.7,32.7,33.8,35.0,35.0,35.0,35.0,35.0,34.4
44,36.0,33.8,32.7,33.0,33.8,35.0,35.0,35.0,35.0,35.0,34.43
45,38.0,33.8,32.7,33.55,33.8,35.0,35.0,35.0,35.0,35.0,34.685
46,38.0,33.8,32.7,33.55,33.8,35.0,35.0,35.0,35.0,35.0,34.685
47,38.0,33.8,32.7,34.4,33.8,35.0,35.0,35.0,35.0,35.0,34.769999999999996
48,38.0,33.8,32.7,34.4,33.8,35.0,35.0,35.0,35.0,35.0,34.769999999999996
49,38.0,33.8,33.55,34.4,33.8,35.0,35.0,35.0,35.0,36.0,34.955
50,38.0,33.8,33.55,34.4,34.7,35.0,35.0,35.0,35.0,36.0,35.045
51,38.0,33.8,33.55,35.25,34.7,35.0,35.0,35.0,36.0,36.0,35.23
52,38.0,33.8,33.55,35.25,34.7,35.0,35.0,35.0,36.0,36.0,35.23
53,38.0,33.8,33.55,35.25,34.7,35.0,35.0,35.0,36.0,36.0,35.23
54,38.0,33.8,34.4,35.25,35.6,35.0,35.0,35.0,37.0,36.0,35.504999999999995
55,38.0,33.8,34.4,35.25,35.6,35.0,35.0,35.0,38.0,36.0,35.605
56,38.0,34.7,34.4,35.25,36.5,35.0,35.0,35.0,38.0,36.0,35.785000000000004
57,38.0,34.7,34.4,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.885000000000005
58,38.0,34.7,34.4,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.885000000000005
59,38.0,34.7,34.4,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.885000000000005
60,38.0,34.7,34.4,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.885000000000005
61,38.0,34.7,35.25,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.97
62,38.0,34.7,35.25,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.97
63,38.0,34.7,35.25,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.97
64,38.0,34.7,35.25,35.25,36.5,35.0,36.0,35.0,38.0,36.0,35.97
